Product Number,Description,Replaces
1046415-65,"Module, Communication",
1046415-22,"Module, Filler",
1046415-17,"Module, Communication, Ethernet",
1046415-16,"Module, Communication, Ethernet",
1038124-20,"Module, Plc5, Communication",
1007301-52,"Module, Controller",
1089240-28,"Module, Flex, Fast Rtd/tc, 8 Inp",1089240-27
1089240-26,"Module, Flex, Fast Counter, 2 Inp",
1089240-13,"Module, Flex, Fast Rtd/tc, 8 Inp",
1089240-1,"Module, Flex, Adapter",1051931-31
120662-18,"Module, Vib, Acceleration",120662-8
120662-14,"Module, Vib, Acceleration",
