mw-file-description href	mw-file-description src	gallerytext	galleryfilename
https://commons.wikimedia.org/wiki/File:Bowling_Green_State_University_wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Bowling_Green_State_University_wordmark.svg/120px-Bowling_Green_State_University_wordmark.svg.png	450 × 135; 2 KB	Bowling Green State University wordmark.svg
https://commons.wikimedia.org/wiki/File:Brigham_Young_University%E2%80%93Idaho_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Brigham_Young_University%E2%80%93Idaho_logo.svg/120px-Brigham_Young_University%E2%80%93Idaho_logo.svg.png	99 × 58; 6 KB	Brigham Young University–Idaho logo.svg
https://commons.wikimedia.org/wiki/File:Brown_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Brown_University_logo.svg/120px-Brown_University_logo.svg.png	205 × 37; 3 KB	Brown University logo.svg
https://commons.wikimedia.org/wiki/File:Brown_University_old_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Brown_University_old_logo.svg/120px-Brown_University_old_logo.svg.png	2,377 × 448; 29 KB	Brown University old logo.svg
https://commons.wikimedia.org/wiki/File:Buffalo_State_College_text_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Buffalo_State_College_text_logo.svg/120px-Buffalo_State_College_text_logo.svg.png	213 × 47; 47 KB	Buffalo State College text logo.svg
https://commons.wikimedia.org/wiki/File:BYU_Header.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/BYU_Header.svg/120px-BYU_Header.svg.png	313 × 148; 16 KB	BYU Header.svg
https://commons.wikimedia.org/wiki/File:BYU_Marriott_School_of_Management_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/BYU_Marriott_School_of_Management_logo.svg/120px-BYU_Marriott_School_of_Management_logo.svg.png	170 × 70; 20 KB	BYU Marriott School of Management logo.svg
https://commons.wikimedia.org/wiki/File:Cal_Poly_Pomona_self-made_name_tag.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Cal_Poly_Pomona_self-made_name_tag.svg/120px-Cal_Poly_Pomona_self-made_name_tag.svg.png	181 × 110; 20 KB	Cal Poly Pomona self-made name tag.svg
https://commons.wikimedia.org/wiki/File:Cal_Poly_tag_(2).svg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Cal_Poly_tag_%282%29.svg/120px-Cal_Poly_tag_%282%29.svg.png	591 × 229; 16 KB	Cal Poly tag (2).svg
https://commons.wikimedia.org/wiki/File:Cal_Poly_tag.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Cal_Poly_tag.svg/120px-Cal_Poly_tag.svg.png	595 × 180; 14 KB	Cal Poly tag.svg
https://commons.wikimedia.org/wiki/File:California_State_University,_Long_Beach.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/California_State_University%2C_Long_Beach.svg/120px-California_State_University%2C_Long_Beach.svg.png	667 × 78; 17 KB	California State University, Long Beach.svg
https://commons.wikimedia.org/wiki/File:Caltech_Logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Caltech_Logo.svg/120px-Caltech_Logo.svg.png	208 × 50; 4 KB	Caltech Logo.svg
https://commons.wikimedia.org/wiki/File:Carnegie_Mellon_University_wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Carnegie_Mellon_University_wordmark.svg/120px-Carnegie_Mellon_University_wordmark.svg.png	179 × 16; 13 KB	Carnegie Mellon University wordmark.svg
https://commons.wikimedia.org/wiki/File:Christopher_Newport_University_(logo).svg	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Christopher_Newport_University_%28logo%29.svg/120px-Christopher_Newport_University_%28logo%29.svg.png	760 × 230; 29 KB	Christopher Newport University (logo).svg
https://commons.wikimedia.org/wiki/File:Clark_Atlanta_University_wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Clark_Atlanta_University_wordmark.svg/120px-Clark_Atlanta_University_wordmark.svg.png	250 × 180; 9 KB	Clark Atlanta University wordmark.svg
https://commons.wikimedia.org/wiki/File:Clemson_University_Wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Clemson_University_Wordmark.svg/120px-Clemson_University_Wordmark.svg.png	269 × 71; 13 KB	Clemson University Wordmark.svg
https://commons.wikimedia.org/wiki/File:Colgate_University_Wordmark_2018.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Colgate_University_Wordmark_2018.svg/120px-Colgate_University_Wordmark_2018.svg.png	512 × 30; 4 KB	Colgate University Wordmark 2018.svg
https://commons.wikimedia.org/wiki/File:Colgate_University_wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Colgate_University_wordmark.svg/120px-Colgate_University_wordmark.svg.png	300 × 44; 13 KB	Colgate University wordmark.svg
https://commons.wikimedia.org/wiki/File:College_of_Computing_GTGold_RGB_2021_SVG.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/College_of_Computing_GTGold_RGB_2021_SVG.svg/120px-College_of_Computing_GTGold_RGB_2021_SVG.svg.png	512 × 202; 10 KB	College of Computing GTGold RGB 2021 SVG.svg
https://commons.wikimedia.org/wiki/File:College_of_the_University_of_Chicago.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/College_of_the_University_of_Chicago.svg/120px-College_of_the_University_of_Chicago.svg.png	720 × 205; 10 KB	College of the University of Chicago.svg
https://commons.wikimedia.org/wiki/File:Colorado_Technical_University_wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Colorado_Technical_University_wordmark.svg/120px-Colorado_Technical_University_wordmark.svg.png	306 × 35; 15 KB	Colorado Technical University wordmark.svg
https://commons.wikimedia.org/wiki/File:Coppin_State_University_wordmark_logo_2021.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Coppin_State_University_wordmark_logo_2021.svg/120px-Coppin_State_University_wordmark_logo_2021.svg.png	261 × 105; 19 KB	Coppin State University wordmark logo 2021.svg
https://commons.wikimedia.org/wiki/File:Cornell_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Cornell_University_logo.svg/120px-Cornell_University_logo.svg.png	152 × 20; 18 KB	Cornell University logo.svg
https://commons.wikimedia.org/wiki/File:Covenant_Theological_Seminary_logo_2018.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Covenant_Theological_Seminary_logo_2018.svg/120px-Covenant_Theological_Seminary_logo_2018.svg.png	512 × 146; 13 KB	Covenant Theological Seminary logo 2018.svg
https://commons.wikimedia.org/wiki/File:CUNEAcademic_Logo_Left_Color.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/CUNEAcademic_Logo_Left_Color.svg/120px-CUNEAcademic_Logo_Left_Color.svg.png	377 × 83; 176 KB	CUNEAcademic Logo Left Color.svg
https://commons.wikimedia.org/wiki/File:Dakota_State_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Dakota_State_University_logo.svg/120px-Dakota_State_University_logo.svg.png	300 × 87; 14 KB	Dakota State University logo.svg
https://commons.wikimedia.org/wiki/File:David_Geffen_School_of_Medicine_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/David_Geffen_School_of_Medicine_logo.svg/120px-David_Geffen_School_of_Medicine_logo.svg.png	379 × 36; 17 KB	David Geffen School of Medicine logo.svg
https://commons.wikimedia.org/wiki/File:Denison_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Denison_University_logo.svg/120px-Denison_University_logo.svg.png	512 × 89; 4 KB	Denison University logo.svg
https://commons.wikimedia.org/wiki/File:DeVry_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/DeVry_University_logo.svg/120px-DeVry_University_logo.svg.png	246 × 29; 9 KB	DeVry University logo.svg
https://commons.wikimedia.org/wiki/File:Drew_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Drew_University_logo.svg/120px-Drew_University_logo.svg.png	237 × 57; 1 KB	Drew University logo.svg
https://commons.wikimedia.org/wiki/File:Duke_University_wordmark_full_gothic.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Duke_University_wordmark_full_gothic.svg/120px-Duke_University_wordmark_full_gothic.svg.png	512 × 72; 10 KB	Duke University wordmark full gothic.svg
https://commons.wikimedia.org/wiki/File:Duke_University_wordmark_heart.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Duke_University_wordmark_heart.svg/120px-Duke_University_wordmark_heart.svg.png	512 × 137; 3 KB	Duke University wordmark heart.svg
https://commons.wikimedia.org/wiki/File:Fermilab_Logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Fermilab_Logo.svg/120px-Fermilab_Logo.svg.png	564 × 102; 6 KB	Fermilab Logo.svg
https://commons.wikimedia.org/wiki/File:Florida_A%26M_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Florida_A%26M_logo.svg/120px-Florida_A%26M_logo.svg.png	512 × 107; 25 KB	Florida A&M logo.svg
https://commons.wikimedia.org/wiki/File:Florida_A%26M_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Florida_A%26M_University_logo.svg/120px-Florida_A%26M_University_logo.svg.png	250 × 30; 17 KB	Florida A&M University logo.svg
https://commons.wikimedia.org/wiki/File:Fuqua_School_of_Business_logo_square_full.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Fuqua_School_of_Business_logo_square_full.svg/120px-Fuqua_School_of_Business_logo_square_full.svg.png	400 × 400; 11 KB	Fuqua School of Business logo square full.svg
https://commons.wikimedia.org/wiki/File:Fuqua_School_of_Business_logo_square_simple.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Fuqua_School_of_Business_logo_square_simple.svg/120px-Fuqua_School_of_Business_logo_square_simple.svg.png	400 × 400; 5 KB	Fuqua School of Business logo square simple.svg
https://commons.wikimedia.org/wiki/File:Gallaudet_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Gallaudet_University_logo.svg/120px-Gallaudet_University_logo.svg.png	362 × 144; 10 KB	Gallaudet University logo.svg
https://commons.wikimedia.org/wiki/File:George_Washington_University_wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/George_Washington_University_wordmark.svg/120px-George_Washington_University_wordmark.svg.png	182 × 139; 8 KB	George Washington University wordmark.svg
https://commons.wikimedia.org/wiki/File:Georgetown_University_Logotype.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Georgetown_University_Logotype.svg/120px-Georgetown_University_Logotype.svg.png	330 × 70; 36 KB	Georgetown University Logotype.svg
https://commons.wikimedia.org/wiki/File:Georgia_State_University_Logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Georgia_State_University_Logo.svg/120px-Georgia_State_University_Logo.svg.png	716 × 584; 19 KB	Georgia State University Logo.svg
https://commons.wikimedia.org/wiki/File:Georgia_Tech_logo_2021.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Georgia_Tech_logo_2021.svg/120px-Georgia_Tech_logo_2021.svg.png	512 × 115; 15 KB	Georgia Tech logo 2021.svg
https://commons.wikimedia.org/wiki/File:Georgia_Tech_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Georgia_Tech_logo.svg/120px-Georgia_Tech_logo.svg.png	157 × 69; 3 KB	Georgia Tech logo.svg
https://commons.wikimedia.org/wiki/File:Harding_University_userbox_image.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Harding_University_userbox_image.svg/120px-Harding_University_userbox_image.svg.png	29 × 28; 2 KB	Harding University userbox image.svg
https://commons.wikimedia.org/wiki/File:Heidelberg_h.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Heidelberg_h.svg/120px-Heidelberg_h.svg.png	261 × 276; 2 KB	Heidelberg h.svg
https://commons.wikimedia.org/wiki/File:IUP_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/IUP_logo.svg/120px-IUP_logo.svg.png	512 × 204; 2 KB	IUP logo.svg
https://commons.wikimedia.org/wiki/File:Jefferson_Community_College_Logo_SUNY.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Jefferson_Community_College_Logo_SUNY.svg/120px-Jefferson_Community_College_Logo_SUNY.svg.png	512 × 251; 14 KB	Jefferson Community College Logo SUNY.svg
https://commons.wikimedia.org/wiki/File:Jefferson_logo_2017.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Jefferson_logo_2017.svg/120px-Jefferson_logo_2017.svg.png	350 × 127; 24 KB	Jefferson logo 2017.svg
https://commons.wikimedia.org/wiki/File:JJCJ_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/JJCJ_logo.svg/120px-JJCJ_logo.svg.png	162 × 117; 4 KB	JJCJ logo.svg
https://commons.wikimedia.org/wiki/File:Keck_School_of_Medicine_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Keck_School_of_Medicine_logo.svg/120px-Keck_School_of_Medicine_logo.svg.png	148 × 40; 21 KB	Keck School of Medicine logo.svg
https://commons.wikimedia.org/wiki/File:Kent_State_University_Logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Kent_State_University_Logo.svg/120px-Kent_State_University_Logo.svg.png	893 × 265; 58 KB	Kent State University Logo.svg
https://commons.wikimedia.org/wiki/File:La_Salle_University_Logotype.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/La_Salle_University_Logotype.svg/120px-La_Salle_University_Logotype.svg.png	300 × 78; 14 KB	La Salle University Logotype.svg
https://commons.wikimedia.org/wiki/File:Laboratory_for_Laser_Energetics_logo_blue.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Laboratory_for_Laser_Energetics_logo_blue.svg/120px-Laboratory_for_Laser_Energetics_logo_blue.svg.png	512 × 211; 3 KB	Laboratory for Laser Energetics logo blue.svg
https://commons.wikimedia.org/wiki/File:Lamar_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Lamar_University_logo.svg/120px-Lamar_University_logo.svg.png	250 × 45; 3 KB	Lamar University logo.svg
https://commons.wikimedia.org/wiki/File:Lesley_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Lesley_University_logo.svg/120px-Lesley_University_logo.svg.png	300 × 83; 3 KB	Lesley University logo.svg
https://commons.wikimedia.org/wiki/File:Logan_University_logo_2019_-_color.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Logan_University_logo_2019_-_color.svg/120px-Logan_University_logo_2019_-_color.svg.png	512 × 316; 31 KB	Logan University logo 2019 - color.svg
https://commons.wikimedia.org/wiki/File:Logo_Cleveland_Institute_of_Music.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Logo_Cleveland_Institute_of_Music.svg/120px-Logo_Cleveland_Institute_of_Music.svg.png	600 × 135; 26 KB	Logo Cleveland Institute of Music.svg
https://commons.wikimedia.org/wiki/File:Logo_of_American_National_University.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Logo_of_American_National_University.svg/120px-Logo_of_American_National_University.svg.png	512 × 142; 12 KB	Logo of American National University.svg
https://commons.wikimedia.org/wiki/File:Logo_of_Western_New_England_University.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_of_Western_New_England_University.svg/120px-Logo_of_Western_New_England_University.svg.png	441 × 41; 25 KB	Logo of Western New England University.svg
https://commons.wikimedia.org/wiki/File:Logo_of_Westfield_State_University.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Logo_of_Westfield_State_University.svg/120px-Logo_of_Westfield_State_University.svg.png	236 × 93; 18 KB	Logo of Westfield State University.svg
https://commons.wikimedia.org/wiki/File:Los_Angeles_Pierce_College_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Los_Angeles_Pierce_College_logo.svg/120px-Los_Angeles_Pierce_College_logo.svg.png	433 × 80; 34 KB	Los Angeles Pierce College logo.svg
https://commons.wikimedia.org/wiki/File:March_On!.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/March_On%21.svg/120px-March_On%21.svg.png	144 × 29; 13 KB	March On!.svg
https://commons.wikimedia.org/wiki/File:Massachusetts_Maritime_Academy_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Massachusetts_Maritime_Academy_logo.svg/120px-Massachusetts_Maritime_Academy_logo.svg.png	331 × 47; 53 KB	Massachusetts Maritime Academy logo.svg
https://commons.wikimedia.org/wiki/File:Medill-Northwestern-Logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Medill-Northwestern-Logo.svg/120px-Medill-Northwestern-Logo.svg.png	512 × 288; 6 KB	Medill-Northwestern-Logo.svg
https://commons.wikimedia.org/wiki/File:Miami_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Miami_University_logo.svg/120px-Miami_University_logo.svg.png	512 × 98; 8 KB	Miami University logo.svg
https://commons.wikimedia.org/wiki/File:Mississippi_State_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Mississippi_State_University_logo.svg/120px-Mississippi_State_University_logo.svg.png	232 × 41; 11 KB	Mississippi State University logo.svg
https://commons.wikimedia.org/wiki/File:Missouri_State_University.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Missouri_State_University.svg/120px-Missouri_State_University.svg.png	512 × 102; 7 KB	Missouri State University.svg
https://commons.wikimedia.org/wiki/File:Montana_State_University_Logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Montana_State_University_Logo.svg/120px-Montana_State_University_Logo.svg.png	893 × 230; 19 KB	Montana State University Logo.svg
https://commons.wikimedia.org/wiki/File:New_College_of_Florida_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/New_College_of_Florida_logo.svg/120px-New_College_of_Florida_logo.svg.png	512 × 154; 18 KB	New College of Florida logo.svg
https://commons.wikimedia.org/wiki/File:New_Jersey_IT_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/New_Jersey_IT_logo.svg/120px-New_Jersey_IT_logo.svg.png	200 × 83; 16 KB	New Jersey IT logo.svg
https://commons.wikimedia.org/wiki/File:North_Dakota_State_University_wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/North_Dakota_State_University_wordmark.svg/120px-North_Dakota_State_University_wordmark.svg.png	198 × 22; 9 KB	North Dakota State University wordmark.svg
https://commons.wikimedia.org/wiki/File:Northeastern_University_wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Northeastern_University_wordmark.svg/120px-Northeastern_University_wordmark.svg.png	164 × 22; 5 KB	Northeastern University wordmark.svg
https://commons.wikimedia.org/wiki/File:Northwestern_Medicine_Feinberg_School_of_Medicine_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Northwestern_Medicine_Feinberg_School_of_Medicine_logo.svg/120px-Northwestern_Medicine_Feinberg_School_of_Medicine_logo.svg.png	512 × 72; 13 KB	Northwestern Medicine Feinberg School of Medicine logo.svg
https://commons.wikimedia.org/wiki/File:Northwestern_State_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Northwestern_State_University_logo.svg/120px-Northwestern_State_University_logo.svg.png	171 × 22; 22 KB	Northwestern State University logo.svg
https://commons.wikimedia.org/wiki/File:Northwestern_University_old_wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Northwestern_University_old_wordmark.svg/120px-Northwestern_University_old_wordmark.svg.png	484 × 98; 69 KB	Northwestern University old wordmark.svg
https://commons.wikimedia.org/wiki/File:Northwestern_University_wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Northwestern_University_wordmark.svg/120px-Northwestern_University_wordmark.svg.png	193 × 26; 5 KB	Northwestern University wordmark.svg
https://commons.wikimedia.org/wiki/File:Northwestern-Pritzker-School-of-Law.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Northwestern-Pritzker-School-of-Law.svg/120px-Northwestern-Pritzker-School-of-Law.svg.png	512 × 123; 11 KB	Northwestern-Pritzker-School-of-Law.svg
https://commons.wikimedia.org/wiki/File:Nova_Southeastern_University_wordmark_cropped.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Nova_Southeastern_University_wordmark_cropped.svg/120px-Nova_Southeastern_University_wordmark_cropped.svg.png	123 × 42; 2 KB	Nova Southeastern University wordmark cropped.svg
https://commons.wikimedia.org/wiki/File:Nova_Southeastern_University_wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Nova_Southeastern_University_wordmark.svg/120px-Nova_Southeastern_University_wordmark.svg.png	300 × 42; 2 KB	Nova Southeastern University wordmark.svg
https://commons.wikimedia.org/wiki/File:Ohio_State_University_Logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Ohio_State_University_Logo.svg/120px-Ohio_State_University_Logo.svg.png	539 × 539; 33 KB	Ohio State University Logo.svg
https://commons.wikimedia.org/wiki/File:Ohio_State_University_text_logo_unified.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Ohio_State_University_text_logo_unified.svg/120px-Ohio_State_University_text_logo_unified.svg.png	340 × 340; 31 KB	Ohio State University text logo unified.svg
https://commons.wikimedia.org/wiki/File:Ohio_State_University_text_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Ohio_State_University_text_logo.svg/120px-Ohio_State_University_text_logo.svg.png	340 × 343; 31 KB	Ohio State University text logo.svg
https://commons.wikimedia.org/wiki/File:Orange_Coast_College_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Orange_Coast_College_logo.svg/120px-Orange_Coast_College_logo.svg.png	251 × 108; 17 KB	Orange Coast College logo.svg
https://commons.wikimedia.org/wiki/File:Pace_University_wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Pace_University_wordmark.svg/120px-Pace_University_wordmark.svg.png	300 × 130; 2 KB	Pace University wordmark.svg
https://commons.wikimedia.org/wiki/File:Peabody_Institute_Johns_Hopkins_University_Baltimore_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Peabody_Institute_Johns_Hopkins_University_Baltimore_logo.svg/120px-Peabody_Institute_Johns_Hopkins_University_Baltimore_logo.svg.png	1,052 × 481; 38 KB	Peabody Institute Johns Hopkins University Baltimore logo.svg
https://commons.wikimedia.org/wiki/File:Pratt_Institute_Logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Pratt_Institute_Logo.svg/120px-Pratt_Institute_Logo.svg.png	512 × 165; 1 KB	Pratt Institute Logo.svg
https://commons.wikimedia.org/wiki/File:Princeton_text_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Princeton_text_logo.svg/120px-Princeton_text_logo.svg.png	250 × 64; 27 KB	Princeton text logo.svg
https://commons.wikimedia.org/wiki/File:Quantic-logo-color.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Quantic-logo-color.svg/120px-Quantic-logo-color.svg.png	246 × 60; 6 KB	Quantic-logo-color.svg
https://commons.wikimedia.org/wiki/File:QueensboroughCC_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/QueensboroughCC_logo.svg/120px-QueensboroughCC_logo.svg.png	500 × 75; 8 KB	QueensboroughCC logo.svg
https://commons.wikimedia.org/wiki/File:Rutgers_University_seal.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Rutgers_University_seal.svg/120px-Rutgers_University_seal.svg.png	300 × 301; 85 KB	Rutgers University seal.svg
https://commons.wikimedia.org/wiki/File:Salem_University_logo_green.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Salem_University_logo_green.svg/120px-Salem_University_logo_green.svg.png	144 × 48; 6 KB	Salem University logo green.svg
https://commons.wikimedia.org/wiki/File:Salisbury_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Salisbury_University_logo.svg/120px-Salisbury_University_logo.svg.png	445 × 140; 16 KB	Salisbury University logo.svg
